    t              u1             u2
0.165955       0.171405      -0.392669
0.166815       0.172319      -0.392315
0.167675       0.173233      -0.391959
0.168535       0.174147        -0.3916
0.169394       0.175061      -0.391239
0.170253       0.175975      -0.390875
0.171112       0.176889      -0.390509
0.171971       0.177803       -0.39014
0.17283       0.178717      -0.389769
0.173689       0.179631      -0.389395
0.174547       0.180545      -0.389019
0.175405       0.181459       -0.38864
0.176264       0.182374      -0.388258
0.177121       0.183288      -0.387874
0.177979       0.184202      -0.387488
0.178837       0.185116      -0.387099
0.179694       0.186031      -0.386707
0.180551       0.186945      -0.386313
0.181408       0.187859      -0.385917
0.182265       0.188773      -0.385517
0.183122       0.189688      -0.385116
0.183979       0.190602      -0.384712
0.184835       0.191517      -0.384305
0.185691       0.192431      -0.383896
0.186547       0.193345      -0.383484
0.187403        0.19426       -0.38307
0.188259       0.195174      -0.382653
0.189114       0.196089      -0.382234
0.18997       0.197003      -0.381812
0.190825       0.197917      -0.381388
0.19168       0.198832      -0.380962
0.192535       0.199746      -0.380532
0.19339       0.200661      -0.380101
0.194245       0.201576      -0.379667
0.195099        0.20249       -0.37923
0.195954       0.203405      -0.378791
0.196808       0.204319      -0.378349
0.197662       0.205234      -0.377905
0.198516       0.206148      -0.377459
0.19937       0.207063      -0.377009
0.200223       0.207978      -0.376558
0.201077       0.208892      -0.376104
0.20193       0.209807      -0.375647
0.202783       0.210722      -0.375188
0.203636       0.211636      -0.374727
0.204489       0.212551      -0.374263
0.205342       0.213466      -0.373797
0.206195       0.214381      -0.373328
0.207047       0.215295      -0.372856
0.2079        0.21621      -0.372382
0.208752       0.217125      -0.371906
0.209604        0.21804      -0.371427
0.210456       0.218954      -0.370946
0.211308       0.219869      -0.370463
0.21216       0.220784      -0.369976
0.213012       0.221699      -0.369488
0.213863       0.222614      -0.368997
0.214714       0.223529      -0.368503
0.215566       0.224443      -0.368007
0.216417       0.225358      -0.367509
0.217268       0.226273      -0.367008
0.218119       0.227188      -0.366505
0.21897       0.228103      -0.365999
0.21982       0.229018      -0.365491
0.220671       0.229933       -0.36498
0.221521       0.230848      -0.364467
0.222372       0.231763      -0.363952
0.223222       0.232678      -0.363434
0.224072       0.233593      -0.362913
0.224922       0.234508      -0.362391
0.225772       0.235423      -0.361865
0.226622       0.236338      -0.361338
0.227472       0.237253      -0.360808
0.228321       0.238168      -0.360275
0.229171       0.239083       -0.35974
0.23002       0.239998      -0.359203
0.23087       0.240913      -0.358663
0.231719       0.241828      -0.358121
0.232568       0.242743      -0.357576
0.233417       0.243658      -0.357029
0.234266       0.244573      -0.356479
0.235115       0.245489      -0.355927
0.235963       0.246404      -0.355373
0.236812       0.247319      -0.354816
0.237661       0.248234      -0.354257
0.238509       0.249149      -0.353696
0.239358       0.250064      -0.353132
0.240206       0.250979      -0.352565
0.241054       0.251895      -0.351996
0.241902        0.25281      -0.351425
0.24275       0.253725      -0.350852
0.243598        0.25464      -0.350276
0.244446       0.255555      -0.349697
0.245294       0.256471      -0.349116
0.246142       0.257386      -0.348533
0.24699       0.258301      -0.347948
0.247837       0.259216       -0.34736
0.248685       0.260131      -0.346769
0.249533       0.261047      -0.346176
0.25038       0.261962      -0.345581
0.251227       0.262877      -0.344984
0.252075       0.263793      -0.344384
0.252922       0.264708      -0.343781
0.253769       0.265623      -0.343177
0.254616       0.266538      -0.342569
0.255463       0.267454       -0.34196
0.25631       0.268369      -0.341348
0.257157       0.269284      -0.340734
0.258004         0.2702      -0.340117
0.258851       0.271115      -0.339498
0.259698        0.27203      -0.338877
0.260545       0.272946      -0.338253
0.261391       0.273861      -0.337627
0.262238       0.274776      -0.336998
0.263085       0.275692      -0.336367
0.263931       0.276607      -0.335734
0.264778       0.277522      -0.335098
0.265624       0.278438       -0.33446
0.266471       0.279353       -0.33382
0.267317       0.280268      -0.333177
0.268163       0.281184      -0.332532
0.26901       0.282099      -0.331885
0.269856       0.283014      -0.331235
0.270702        0.28393      -0.330583
0.271549       0.284845      -0.329928
0.272395       0.285761      -0.329271
0.273241       0.286676      -0.328612
0.274087       0.287591       -0.32795
0.274933       0.288507      -0.327286
0.275779       0.289422       -0.32662
0.276625       0.290337      -0.325951
0.277471       0.291253       -0.32528
0.278318       0.292168      -0.324607
0.279164       0.293084      -0.323931
0.28001       0.293999      -0.323253
0.280856       0.294914      -0.322573
0.281702        0.29583       -0.32189
0.282548       0.296745      -0.321205
0.283394       0.297661      -0.320517
0.28424       0.298576      -0.319827
0.285086       0.299491      -0.319135
0.285931       0.300407      -0.318441
0.286777       0.301322      -0.317744
0.287623       0.302238      -0.317045
